latitude|longitude|name
47.602424|10.412055|Wertach, bayern, germany
48.917194|11.407995|Sebastianskapelle, bayern, germany
48.917194|11.407995|Grüntensee Seepegel, bayern, germany
48.917194|11.407995|Haslach Werksabfluss, bayern, germany
48.03109|10.91272|Thalhofen, bayern, germany
47.832774|10.640791|Biessenhofen, bayern, germany
48.062279|10.64022|Türkheim, bayern, germany
48.382599|10.8804|Augsburg Oberhausen, bayern, germany
47.602424|10.412055|Wertach, bayern, germany
47.705802|10.511475|Görisried, bayern, germany
47.74728|10.57429|Leuterschach, bayern, germany
47.77172|10.50571|Unterthingau, bayern, germany
47.824322|10.65194|Hörmanshofen, bayern, germany
48.037287|10.728889|Buchloe, bayern, germany
48.147682|10.756322|Langerringen, bayern, germany
48.917194|11.407995|Langerringen Hochwasserlauf, bayern, germany
50.37485|11.77903|Berg, bayern, germany
48.917194|11.407995|Neu Ulm, Bad Held, bayern, germany
48.917194|11.407995|Günzburg u. d. Günzmündung, bayern, germany
48.576092|10.49689|Dillingen, bayern, germany
48.718145|10.780483|Donauwörth, bayern, germany
48.746395|11.015465|Bertoldsheim OW, bayern, germany
48.746395|11.015465|Bertoldsheim KW, bayern, germany
48.742684|11.157898|Bittenbrunn KW, bayern, germany
48.737251|11.17855|Neuburg, bayern, germany
47.770399|10.354503|Neuburg Q, bayern, germany
48.762365|11.42523|Ingolstadt OW, bayern, germany
48.917194|11.407995|Ingolstadt Luitpoldstraße, bayern, germany
48.770401|11.61813|Vohburg, bayern, germany
49.688332|12.04195|Neustadt, bayern, germany
48.916145|11.8705|Kelheim, bayern, germany
48.91436|11.91577|Kelheimwinzer, bayern, germany
49.15295|12.76342|Oberndorf, bayern, germany
50.08911|9.143986|Regensburg Eiserne Brücke, bayern, germany
49.0233|12.1497|Schwabelweis, bayern, germany
48.965042|12.381911|Pfatter, bayern, germany
48.881433|12.57373|Straubing, bayern, germany
48.87986|12.74861|Pfelling, bayern, germany
48.831323|12.962201|Deggendorf, bayern, germany
48.677623|13.118401|Hofkirchen, bayern, germany
48.633331|13.18333|Vilshofen, bayern, germany
48.573177|13.458095|Passau, bayern, germany
50.127846|11.995059|Marktleuthen, bayern, germany
50.097092|12.22268|Hohenberg, bayern, germany
50.020779|12.10888|Lorenzreuth, bayern, germany
50.056006|12.187321|Arzberg, bayern, germany
50.0016|12.084628|Marktredwitz, bayern, germany
49.93705|12.29048|Dobrigau, bayern, germany
50.004117|12.3054|Waldsassen, bayern, germany
50.185476|11.849349|Weißdorf, bayern, germany
50.262533|11.933748|Oberkotzau, bayern, germany
50.321603|11.918732|Hof, bayern, germany
48.917194|11.407995|Förmitz Speicherzufluss, bayern, germany
48.917194|11.407995|Förmitz Seepegel, bayern, germany
48.917194|11.407995|Förmitz Speicherabfluss, bayern, germany
50.1833|11.9667|Fahrenbühl, bayern, germany
50.247855|12.03307|Rehau, bayern, germany
49.782028|12.2067|Eppenreuth, bayern, germany
48.917194|11.407995|Untreusee Seepegel, bayern, germany
49.798222|11.32479|Moschendorf, bayern, germany
50.279049|11.98046|Kautendorf, bayern, germany
50.01405|11.52173|Hölle, bayern, germany
48.803598|13.09884|Auerbach, bayern, germany
48.52715|12.46305|Aham, bayern, germany
48.917194|11.407995|Marklkofen Werkszufluß, bayern, germany
48.917194|11.407995|Marklkofen Seepegel, bayern, germany
48.917194|11.407995|Marklkofen Werksabfluß, bayern, germany
48.610649|12.69448|Rottersdorf, bayern, germany
48.638309|12.92768|Reichstorf, bayern, germany
48.739799|11.87537|Grafenmühle, bayern, germany
48.448555|12.355775|Vilsbiburg, bayern, germany
48.498329|12.3442|Dietelskirchen, bayern, germany
48.393169|11.49076|Kollbach, bayern, germany
48.39724|12.76472|Bruckhäuser, bayern, germany
48.39724|12.76472|Bruckhäuser, bayern, germany
48.413101|11.7581|Neustift, bayern, germany
48.28355|11.02379|Hörmannsberg, bayern, germany
48.917194|11.407995|Schrottenbaummühle, bayern, germany
48.665482|13.23945|Kalteneck, bayern, germany
48.917194|11.407995|Taferlruck, bayern, germany
48.840352|13.337746|Schönberg, bayern, germany
48.917194|11.407995|Rachel-Diensthütte, bayern, germany
48.816051|13.35964|Eberhardsreuth, bayern, germany
48.85569|13.396812|Grafenau, bayern, germany
48.719125|13.461536|Fürsteneck, bayern, germany
48.84753|13.52976|Unterkashof, bayern, germany
49.63055|10.73628|Linden, bayern, germany
48.736895|13.523089|Röhrnbach, bayern, germany
47.794926|12.533549|Magerbach, bayern, germany
48.917194|11.407995|Telfs, bayern, germany
48.917194|11.407995|Innsbruck, bayern, germany
48.917194|11.407995|Rotholz, bayern, germany
47.794926|12.533549|Brixlegg, bayern, germany
47.64804|12.172106|Oberaudorf, bayern, germany
48.917194|11.407995|Rosenheim o.d. Mangfallmündung, bayern, germany
48.917194|11.407995|Rosenheim u.d. Mangfallmündung, bayern, germany
48.060799|12.2332|Wasserburg, bayern, germany
48.18185|12.42858|Kraiburg, bayern, germany
48.243279|12.51893|Mühldorf, bayern, germany
47.941818|12.8717|Eschelbach, bayern, germany
47.94182|12.871705|Eschelbach Q, bayern, germany
48.917194|11.407995|Braunau-Simbach KW, bayern, germany
47.794926|12.533549|Schärding, bayern, germany
48.917194|11.407995|Schärding Q, bayern, germany
48.917194|11.407995|Passau Ingling KW, bayern, germany
48.917194|11.407995|Passau Ingling, bayern, germany
48.573177|13.458095|Passau, bayern, germany
47.794926|12.533549|Bleyerbrücke, bayern, germany
47.657256|12.154806|Bad Trißl, bayern, germany
49.75346|10.775455|Mühlhausen, bayern, germany
47.88937|12.2427|Krottenmühl, bayern, germany
47.853514|12.184523|Stephanskirchen, bayern, germany
47.727489|11.74369|St. Quirin, bayern, germany
47.769588|11.77448|Schmerold, bayern, germany
47.890957|11.773333|Valley, bayern, germany
47.894379|11.85354|Feldolling, bayern, germany
48.917194|11.407995|Bad Aibling Willinger Brücke, bayern, germany
47.85652|12.128755|Rosenheim, bayern, germany
48.486012|10.92047|Oberach, bayern, germany
47.644944|11.745261|Bad Kreuth, bayern, germany
47.60828|10.29613|Rottach, bayern, germany
47.715868|11.72078|Bad Wiessee, bayern, germany
47.715868|11.72078|Bad Wiessee, bayern, germany
47.735504|11.862824|Schliersee, bayern, germany
47.78914|11.83342|Miesbach, bayern, germany
47.708481|11.93235|Stauden, bayern, germany
48.917194|11.407995|Erb, bayern, germany
48.849998|11.3|Mühltal, bayern, germany
47.924591|11.99005|Beyharting, bayern, germany
47.863862|12.010397|Bad Aibling, bayern, germany
47.863862|12.010397|Bad Aibling, bayern, germany
47.77336|12.008082|Bad Feilnbach, bayern, germany
47.77336|12.008082|Bad Feilnbach, bayern, germany
47.83189|12.09127|Hohenofen, bayern, germany
48.126165|11.583095|Au_, bayern, germany
47.85652|12.128755|Rosenheim, bayern, germany
47.85652|12.128755|Rosenheim Q, bayern, germany
48.5|11.33333|Weichselbaum, bayern, germany
47.993448|12.007871|Aßling, bayern, germany
47.804695|12.855745|Anger, bayern, germany
47.84153|11.9563|Weg, bayern, germany
48.917194|11.407995|Dorfen OW, bayern, germany
48.27304|12.149985|Dorfen, bayern, germany
48.283298|12.6167|Engfurt, bayern, germany
48.229408|12.13712|Großschwindau, bayern, germany
48.085072|12.4381|Stock, bayern, germany
47.934269|12.47798|Seebruck, bayern, germany
48.00256|12.53576|Altenmarkt a. d. A., bayern, germany
48.027177|12.55599|Trostberg, bayern, germany
48.167389|12.72925|Burgkirchen, bayern, germany
48.027177|12.55599|Trostberg, bayern, germany
48.152088|12.68447|Gufflham, bayern, germany
48.73275|11.81329|St. Johann, bayern, germany
48.91407|12.86632|Staudach, bayern, germany
47.676908|12.471518|Reit im Winkl, bayern, germany
47.7286|12.39746|Mühlau, bayern, germany
47.738288|12.458967|Unterwössen, bayern, germany
47.820285|12.479975|Übersee, bayern, germany
47.811871|12.37372|Bernau, bayern, germany
47.778389|12.32455|Aschau, bayern, germany
47.855549|12.34283|Prien, bayern, germany
48.917194|11.407995|Dickertsmühle, bayern, germany
47.807304|12.590244|Bergen, bayern, germany
47.844185|12.542529|Grabenstätt, bayern, germany
49.78051|9.87691|Hochberg, bayern, germany
48.917194|11.407995|Traunstein Heilig-Geist, bayern, germany
49.20607|12.644795|Stein bei Altenmarkt, bayern, germany
47.73122|12.6632|Fritz am Sand, bayern, germany
47.82144|12.651231|Siegsdorf, bayern, germany
47.828152|12.65189|Wernleiten, bayern, germany
47.921894|12.28213|Golling, bayern, germany
48.716671|12.21667|Salzburg, bayern, germany
47.605345|10.353363|Laufen Siegerstetter Keller, bayern, germany
49.15295|12.76342|Oberndorf, bayern, germany
48.15833|12.832882|Burghausen, bayern, germany
48.917194|11.407995|Obergäu, bayern, germany
48.917194|11.407995|Berchtesgaden-Klärwerk, bayern, germany
47.615089|12.94898|Ilsank, bayern, germany
47.63353|12.9793|Stanggass, bayern, germany
47.589951|12.99043|Königssee, bayern, germany
47.794926|12.533549|Schwöbbrücke, bayern, germany
47.744999|12.9121|Weißbach, bayern, germany
47.679062|12.82624|Unterjettenberg, bayern, germany
48.917194|11.407995|Staufeneck, bayern, germany
48.917194|11.407995|Siezenheim, bayern, germany
47.769664|12.912015|Piding, bayern, germany
47.849745|12.822045|Teisendorf, bayern, germany
50.012335|12.126365|Ammerberg, bayern, germany
47.849998|12.95|Brodhausen, bayern, germany
47.80101|12.70372|Hammer, bayern, germany
47.820591|12.90621|Thundorf, bayern, germany
47.794926|12.533549|Buchwinkel, bayern, germany
47.916401|12.822|Unverzug, bayern, germany
47.932449|12.73618|Waging, bayern, germany
