K
Seepegel
Speicherabfluss
Speicherzufluss
Flutmulde
Werksabfluss
Bahnbrücke
(Ort)
Wehr Oberwasser
KA
Zollbrücke
Steuerpegel
KW
HRB Abfluss
 A8-Brücke
 u. d. Wertachmündung
OW
KW
Q
Werkszufluß
 o.d. Mangfallmündung
 u.d. Mangfallmündung
Willinger Brücke
Siegerstetter Keller
-Klärwerk
Neuer Hafen
Osthafen
Kleines Meßwehr
Großes Meßwehr
Schleuse UP
Westschleuse UP
Westschleuse OP
1
2
3
4
5
6
7
8
9
SP
Stadtpark
(WSV)
LT
BP
AP
SPERRWERK
Pegel 12
I
II
Binnenpolder W
Hauptpolder W
W
K
Pegel
Wehr
OP
lll
UP
UW
Zulauf
Schleuse
HRB Ablauf
HRB
Ablauf
(Ort)
Werkszufluss
Abflauf
Oberwasser
Werksabfluß
Rückhaltebecken
Perlseeabfluss
Silberseeabfluss
Gesamtzufluss
Abfluss
Überleitung
Einlauf
Vorstadtschleuse
Hauptschleuse
Zusammenfluss
Spreewehr Nr.207a
Schachtschleuse
Eiserne Brücke
